Cluster_ID,Old_Cluster_Name,Cluster_Name,Region_Raion,Designated_Center,Combined_Population,Financial_Stimulus_MDL,km2,Below_1500,Below_3000,Participating_Communities,Mayor_Party,Major_Council_Party,Source
2026-01,Anenii Noi-02,Anenii Noi-2026-01,Anenii Noi,Roșcani,3719,15.3,59.326,2,3,Roșcani; Telița; Calfa,PAS;Ind.,PAS;PSRM,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara
2026-02,Hîncești-05,Hîncești-2026-02,Hîncești,Lăpușna,8679,41,222.944,4,5,Bălceana; Boghiceni; Lăpușna; Pașcani; Pervomaiscoe; Secăreni,PAS; Ind.;PSDE;PDCM,PAS;PSDE;PDCM,https://democracy.md/sase-localitati-din-hancesti-se-unesc-intr-o-primarie-mai-mare-investitii-de-41-milioane-de-lei/
2026-03,Cahul-06,Cahul-2026-03,Cahul,Zîrnești,3915,16,110.423,2,3,Zîrnești; Baurci-Moldoveni; Cucoara,PDMM;Ind.,PDMM;PLDM;DA,https://radiochisinau.md/amalgamare-voluntara-la-cahul-trei-localitati-se-unesc-intro-singura-primarie-cu-un-stimulent-de-16-milioane-de-lei-din-partea-guvernului---226237.html
2026-04,Anenii Noi-04,Anenii Noi-2026-04,Anenii Noi,Geamăna,3234,13,111.693,2,3,Geamăna; Zolotievca; Ochiul Roș,PAS;PSRM,PAS;PSRM,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html
2026-05,Florești/Șoldănești-01,Florești/Șoldănești-2026-05,Florești/Șoldănești,Orașul Ghindești,5592,25.9,102.273,4,5,Orașul Ghindești; Domulgeni; Rogojeni; Roșietici; Ghindești,Respect;PDCM;PSDE;PSRM,Respect;PDCM;PSDE;PSRM,https://radiochisinau.md/cinci-localitati-din-floresti-si-soldanesti-au-decis-sa-se-uneasca-intro-singura-primarie-circa-26-de-milioane-de-lei-oferite-de-guvern-pentru-dezvoltare---226071.html
2026-06,Ialoveni-05,Ialoveni-2026-06,Ialoveni,Ialoveni,16103,54.6,40.563,1,1,Orașul Ialoveni; Sociteni,PAS,PAS,https://www.facebook.com/photo/?fbid=1010403035289948&set=pb.100089607821243.-2207520000
2026-07,Drochia-06,Drochia-2026-07,Drochia,Sofia,3686,14.8,78.556,1,2,Sofia; Miciurin,PAS; Ind.,PAS;Renaștere,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntară-a-unităților-administrativ-teritoriale-sofia-miciurin-2291823.html
2026-08,Florești-03,Florești-2026-08,Florești,Gura Camencii,4372,18.5,117.415,3,4,Cernița; Ciripcău; Coșernița; Gura Camencii,PAS;Ind.,PAS;PSRM;PDCM,https://www.facebook.com/AlexeiBuzuGov/posts/pfbid02wEwg3kfaekDgBR8p9q8vPi7v999iajdB4zEKmbwQshxnoE6AQD9EzdRLoh8pb4gQl
2026-09,Basarabeasca-01,Basarabeasca-2026-09,Basarabeasca,Abaclia,3290,13.2,88.055,1,2,Abaclia; Iordanovca,PLDM;PAS,PLDM;PAS,https://www.facebook.com/AlexeiBuzuGov/posts/pfbid02TZLVVNC7boN2XvUjx6R9hXS2nTo3ue6e6JW92zN2ABe4KFNSwLxhvTv797uQT59xl
2026-10,Soroca-01,Soroca-2026-10,Soroca,Rublenița,4513,19.3,91.861,3,4,Rublenița; Băxani; Șolcani; Șeptelici,PAS;Ind.;PSRM,PSDE;PAS;PSRM,https://unika.md/news/patru-localitati-din-soroca-se-unesc-intr-o-singura-primarie-vor-primi-aproape-20-de-milioane
2026-11,Basarabeasca-02,Basarabeasca-2026-11,Basarabeasca,Sadaclia,3394,13.6,74.16,1,2,Sadaclia; Carabetovca,PAS,PAS,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor
2026-12,Leova-05,Leova-2026-12,Leova,Filipeni,3986,16.9,123.825,3,4,Cupcui; Filipeni; Romanovca; Sărata Noua,PAS;PSRM,PAS;PSRM,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor
2026-13,Soroca/Dondușeni-01,Soroca/Dondușeni-2026-13,Soroca/Dondușeni,Visoca,4157,18.4,145.796,5,5,Dărcăuți; Teleșeuca; Crișcuți; Visoca; Rudi,PAS;PSRM;DA,PAS;PSRM;DA,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor
2026-14,Ialoveni-01,Ialoveni-2026-14,Ialoveni,Costești,9261,36,76.307,1,1,Costești; Hansca,PAS;PSDE,PAS;PSDE,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor
2026-15,Hîncești-06,Hîncești-2026-15,Hîncești,Mingir,4366,17.4,103.821,1,2,Mingir; Voinescu,PAS,PAS;PSDE,https://www.facebook.com/share/r/1EMYQxZcAn/
2026-16,Soroca-03,Soroca-2026-16,Soroca,Căinarii Vechi,4113,17,141.67,2,3,Bulboci; Căinarii Vechi; Vădeni,PAS;PSRM,PAS;PSRM,https://www.facebook.com/share/r/1EMYQxZcAn/
2026-17,Soroca-08,Soroca-2026-17,Soroca,Cosăuți,3687,14.8,72.782,0,2,Zastînca; Cosăuți,PSRM;PDA,PSRM;PAS;PDA,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Soroca-08.txt
2026-18,Telenești-03,Telenești-2026-18,Telenești,Ratuș,4081,16.8,75.532,2,3,Ratuș; Leușeni; Verejeni,PAS;PLDM,PAS;PLDM;PSDE,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Telenesti-03.txt
2026-19,Cahul-01,Cahul-2026-19,Cahul,Slobozia Mare,4392,17.4,143.247,1,1,Slobozia Mare; Cîşliţa-Prut,PAS;PSRM,PAS;PSRM,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Cahul-01.txt
2026-20,Ștefan Vodă-02,Ștefan Vodă-2026-20,Ștefan Vodă,Ermoclia,4362,17.4,86.299,0,2,Ermoclia; Feștelița,PSDE,PSDE,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Stefan%20Voda-02.txt
2026-21,Anenii Noi-01,Anenii Noi-2026-21,Anenii Noi,Țînțăreni,4719,19.4,104.39,2,3,Țînțăreni; Chirca; Cobusca Nouă,PAS;PSRM,PAS;MAN;PSRM,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt
2026-22,Ialoveni-02,Ialoveni-2026-22,Ialoveni,Suruceni,3856,15.3,37.176,0,2,Suruceni; Nimoreni,PAS;PSDE,PAS;PSDE;PAS,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Ialoveni-02.txt
2026-23,Ștefan Vodă-01,Ștefan Vodă-2026-23,Ștefan Vodă,Crocmaz,5042,21.6,131.701,1,3,Crocmaz; Căplani; Tudora,PAS;LOC,PAS;LOC;PSRM,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Stefan%20Voda-01.txt
2026-24,Soroca-02,Soroca-2026-24,Soroca,Volovița,4218,18.7,115.047,5,5,Dubna; Parcani; Stoicani; Redi-Cereșnovăț; Volovița,PAS;PSRM,PAS;PSRM,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Soroca-02.txt
