Raion_Name,LPA_Name,Cuatm,Population (2024 Census),Percentage change 2024-2014,Pop_2024,In-Scope,In Cluster,Cluster Source,Auto_Status,Manual_Status,Manual_Source,Final_Status,Final_Source
Anenii Noi,Anenii Noi,1001,4. 5K - 10K,-17.83%,"8,933",TRUE,Anenii Noi-07,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-07.txt,5. Adopted,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntară-a-unităților-administrativ-teritorialeorașul-aneni-noi-și-comuna-ciobanovca-2301140.html,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-07.txt
Anenii Noi,Botnărești,1012,1. < 1500,-5.68%,946,TRUE,FALSE,FALSE,FALSE,,,0. Unclear or Not Initiated,0. Not Checked
Anenii Noi,Bulboaca,1014,3. 3K - 5K,-28.55%,"3,598",TRUE,FALSE,FALSE,FALSE,2. Working Group,https://actelocale.gov.md/ral/act/cu-privire-la-procesul-de-amalgamare-voluntară-2267240.html,2. Working Group,https://actelocale.gov.md/ral/act/cu-privire-la-procesul-de-amalgamare-voluntară-2267240.html
Anenii Noi,Calfa,1015,1. < 1500,-19.92%,"1,226",TRUE,Anenii Noi-02,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara,5. Adopted,5. Adopted,,5. Adopted,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara
Anenii Noi,Chetrosu,1017,3. 3K - 5K,-20.66%,"3,073",TRUE,FALSE,FALSE,FALSE,1. Initiated,https://actelocale.gov.md/ral/act/cu-privire-la-ini%C5%A3ierea-procesului-de-amalgamare-voluntar%C4%83-2212940.html,1. Initiated,https://actelocale.gov.md/ral/act/cu-privire-la-ini%C5%A3ierea-procesului-de-amalgamare-voluntar%C4%83-2212940.html
Anenii Noi,Chirca,1018,1. < 1500,-28.04%,"1,314",TRUE,Anenii Noi-01,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt,5. Adopted,5. Adopted,,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt
Anenii Noi,Ciobanovca,1020,1. < 1500,-33.88%,"1,136",TRUE,Anenii Noi-07,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-07.txt,5. Adopted,5. Adopted,https://www.facebook.com/groups/1787303318068509/posts/4080626812069470,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-07.txt
Anenii Noi,Cobusca Nouă,1021,1. < 1500,-36.63%,943,TRUE,Anenii Noi-01,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt,5. Adopted,5. Adopted,,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt
Anenii Noi,Cobusca Veche,1023,2. 1.5K - 3K,-22.17%,"1,787",TRUE,FALSE,FALSE,FALSE,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritorialeuat-cobusca-nou%C4%83-uat-%C8%9A%C3%AEn%C8%9B%C4%83reni-uat-chirca-2300190.html,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritorialeuat-cobusca-nou%C4%83-uat-%C8%9A%C3%AEn%C8%9B%C4%83reni-uat-chirca-2300190.html
Anenii Noi,Delacău,1026,1. < 1500,-39.13%,"1,210",TRUE,FALSE,FALSE,FALSE,1. Initiated,https://actelocale.gov.md/ral/act/Сu-privire-la-modificarea-deciziei-nr43-din-24042026cu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2248434.html,1. Initiated,https://actelocale.gov.md/ral/act/Сu-privire-la-modificarea-deciziei-nr43-din-24042026cu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2248434.html
Anenii Noi,Floreni,1027,3. 3K - 5K,-23.01%,"3,059",TRUE,FALSE,FALSE,FALSE,1. Initiated,https://actelocale.gov.md/ral/act/cu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2294629.html,1. Initiated,https://actelocale.gov.md/ral/act/cu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2294629.html
Anenii Noi,Geamăna,1028,2. 1.5K - 3K,-20.44%,"2,436",TRUE,Anenii Noi-04,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html,5. Adopted,5. Adopted,,5. Adopted,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html
Anenii Noi,Gura Bîcului,1030,2. 1.5K - 3K,-37.14%,"2,138",TRUE,FALSE,FALSE,FALSE,,,0. Unclear or Not Initiated,0. Not Checked
Anenii Noi,Hîrbovăț,1031,3. 3K - 5K,-31.84%,"3,540",TRUE,FALSE,FALSE,FALSE,1. Initiated,https://actelocale.gov.md/ral/act/cu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2239828.html,1. Initiated,https://actelocale.gov.md/ral/act/cu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2239828.html
Anenii Noi,Maximovca,1032,1. < 1500,-19.55%,"1,494",TRUE,FALSE,FALSE,FALSE,3. Draft Consultation,https://particip.gov.md/ro/document/stages/proiectul-privind-amalgamarea-voluntara-a-s-maximovca-r-anenii-noi-cu-comuna-dolinnoe-r-criulen/17442,3. Draft Consultation,https://particip.gov.md/ro/document/stages/proiectul-privind-amalgamarea-voluntara-a-s-maximovca-r-anenii-noi-cu-comuna-dolinnoe-r-criulen/17442
Anenii Noi,Mereni,1034,3. 3K - 5K,-26.94%,"4,206",TRUE,FALSE,FALSE,FALSE,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-satul-mereni-%C8%99i-satul-merenii-noi-2309673.html,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-satul-mereni-%C8%99i-satul-merenii-noi-2309673.html
Anenii Noi,Merenii Noi,1036,1. < 1500,-18.71%,"1,182",TRUE,FALSE,FALSE,FALSE,3. Draft Consultation,https://particip.gov.md/ro/document/stages/proiectul-privind-cu-privire-la-amalgamarea-voluntara-a-uat/17649,3. Draft Consultation,https://particip.gov.md/ro/document/stages/proiectul-privind-cu-privire-la-amalgamarea-voluntara-a-uat/17649
Anenii Noi,Ochiul Roș,2328,1. < 1500,-31.79%,236,TRUE,Anenii Noi-04,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html,5. Adopted,5. Adopted,,5. Adopted,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html
Anenii Noi,Puhăceni,1037,2. 1.5K - 3K,-35.34%,"2,199",TRUE,FALSE,FALSE,FALSE,1. Initiated,https://actelocale.gov.md/ral/act/%D0%A1u-privire-la-ini%C8%9Bierea-procesului-de-amalgamare-voluntar%C4%83-2117105.html,1. Initiated,https://actelocale.gov.md/ral/act/%D0%A1u-privire-la-ini%C8%9Bierea-procesului-de-amalgamare-voluntar%C4%83-2117105.html
Anenii Noi,Roșcani,1038,2. 1.5K - 3K,-35.55%,"1,670",TRUE,Anenii Noi-02,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara,5. Adopted,5. Adopted,,5. Adopted,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara
Anenii Noi,Șerpeni,1042,2. 1.5K - 3K,-37.90%,"2,094",TRUE,FALSE,FALSE,FALSE,3. Draft Consultation,https://particip.gov.md/ro/document/stages/cu-privire-la-initierea-procesului-de-amalgamare-voluntara/17900,3. Draft Consultation,https://particip.gov.md/ro/document/stages/cu-privire-la-initierea-procesului-de-amalgamare-voluntara/17900
Anenii Noi,Speia,1041,2. 1.5K - 3K,-41.54%,"1,593",TRUE,FALSE,FALSE,FALSE,1. Initiated,https://actelocale.gov.md/ral/act/Сu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2279791.html,1. Initiated,https://actelocale.gov.md/ral/act/Сu-privire-la-inițierea-procesului-de-amalgamare-voluntară-2279791.html
Anenii Noi,Telița,1043,1. < 1500,-25.11%,823,TRUE,Anenii Noi-02,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara,5. Adopted,5. Adopted,,5. Adopted,https://radiomoldova.md/p/78588/trei-localitati-din-raionul-anenii-noi-au-decis-amalgamarea-voluntara
Anenii Noi,Ţînţăreni,1050,2. 1.5K - 3K,-23.56%,"2,462",TRUE,Anenii Noi-01,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt,5. Adopted,5. Adopted,,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Anenii%20Noi-01.txt
Anenii Noi,Varnița,0502,3. 3K - 5K,-25.03%,"3,827",TRUE,FALSE,FALSE,FALSE,,,0. Unclear or Not Initiated,0. Not Checked
Anenii Noi,Zolotievca,2338,1. < 1500,-30.36%,562,TRUE,Anenii Noi-04,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html,5. Adopted,5. Adopted,,5. Adopted,https://radiochisinau.md/inca-trei-localitati-din-anenii-noi-se-amalgameaza-voluntar-guvernul-va-investi-13-milioane-de-lei---225535.html
Basarabeasca,Abaclia,1210,2. 1.5K - 3K,-38.71%,"2,856",TRUE,Basarabeasca-01,https://www.facebook.com/AlexeiBuzuGov/posts/pfbid02TZLVVNC7boN2XvUjx6R9hXS2nTo3ue6e6JW92zN2ABe4KFNSwLxhvTv797uQT59xl,5. Adopted,5. Adopted,,5. Adopted,https://www.facebook.com/AlexeiBuzuGov/posts/pfbid02TZLVVNC7boN2XvUjx6R9hXS2nTo3ue6e6JW92zN2ABe4KFNSwLxhvTv797uQT59xl
Basarabeasca,Basarabeasca,1201,4. 5K - 10K,-25.73%,"6,291",TRUE,FALSE,FALSE,FALSE,,,0. Unclear or Not Initiated,0. Not Checked
Basarabeasca,Başcalia,1211,1. < 1500,-54.35%,"1,311",TRUE,FALSE,FALSE,FALSE,,,0. Unclear or Not Initiated,0. Not Checked
Basarabeasca,Carabetovca,1212,1. < 1500,-41.51%,971,TRUE,Basarabeasca-02,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor,5. Adopted,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-uat-sadaclia-%C8%99i-uat-carabetovca-2305577.html,5. Adopted,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor
Basarabeasca,Iordanovca,1213,1. < 1500,-42.97%,434,TRUE,Basarabeasca-01,https://www.facebook.com/AlexeiBuzuGov/posts/pfbid02TZLVVNC7boN2XvUjx6R9hXS2nTo3ue6e6JW92zN2ABe4KFNSwLxhvTv797uQT59xl,5. Adopted,5. Adopted,,5. Adopted,https://www.facebook.com/AlexeiBuzuGov/posts/pfbid02TZLVVNC7boN2XvUjx6R9hXS2nTo3ue6e6JW92zN2ABe4KFNSwLxhvTv797uQT59xl
Basarabeasca,Iserlia,1214,1. < 1500,-40.87%,628,TRUE,FALSE,FALSE,FALSE,4. Final Meeting Scheduled,https://actelocale.gov.md/ral/act/cu-privire-la-audierea-publice-a-proiectului-de-decizie-privind-amalgamarea-voluntară-a-unităților-administrativ-teritoriale-comiserlia-smihailovca-stroiţcoe-2297994.html,4. Final Meeting Scheduled,https://actelocale.gov.md/ral/act/cu-privire-la-audierea-publice-a-proiectului-de-decizie-privind-amalgamarea-voluntară-a-unităților-administrativ-teritoriale-comiserlia-smihailovca-stroiţcoe-2297994.html
Basarabeasca,Sadaclia,1218,2. 1.5K - 3K,-31.28%,"2,423",TRUE,Basarabeasca-02,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor,5. Adopted,5. Adopted,,5. Adopted,https://www.moldpres.md/rom/politica/grupuri-de-primarii-amalgamate-au-fost-create-in-toate-regiunile-tarii-investitii-de-366-de-milioane-de-lei-planificate-de-guvern-pentru-modernizarea-localitatilor
Briceni,Balasineşti,1410,1. < 1500,-45.48%,"1,237",TRUE,Briceni-03,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Briceni-03.txt,5. Adopted,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-corjeu%C8%9Bi-caracu%C8%99enii-vechi-%C8%99i-balasine%C8%99ti-2307679.html,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Briceni-03.txt
Briceni,Bălcăuți,1411,1. < 1500,-49.48%,339,TRUE,FALSE,FALSE,FALSE,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-comuna-b%C4%83lc%C4%83u%C8%9Bi-r-l-briceni-comuna-colic%C4%83u%C8%9Bi-r-l-briceni-comuna-m%C4%83rc%C4%83u%C8%9Bi-r-l-briceni-s-trebis%C4%83u%C8%9Bi-r-l-briceni-comuna-corest%C4%83u%C8%9Bi-r-l-ocni%C8%9Ba-2309614.html,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-comuna-b%C4%83lc%C4%83u%C8%9Bi-r-l-briceni-comuna-colic%C4%83u%C8%9Bi-r-l-briceni-comuna-m%C4%83rc%C4%83u%C8%9Bi-r-l-briceni-s-trebis%C4%83u%C8%9Bi-r-l-briceni-comuna-corest%C4%83u%C8%9Bi-r-l-ocni%C8%9Ba-2309614.html
Briceni,Beleavinţi,1427,1. < 1500,-41.45%,"1,284",TRUE,FALSE,FALSE,FALSE,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-satului-beleavin%C8%9Bi-cu-ora%C8%99ul-lipcani-satul-hlinasatul-%C8%98ir%C4%83u%C8%9Bisatul-slobozia-%C8%98ir%C4%83u%C8%9Bi-satul-pererita-satul-drepc%C4%83u%C8%9Bisatul-criva-2305032.html,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83-a-satului-beleavin%C8%9Bi-cu-ora%C8%99ul-lipcani-satul-hlinasatul-%C8%98ir%C4%83u%C8%9Bisatul-slobozia-%C8%98ir%C4%83u%C8%9Bi-satul-pererita-satul-drepc%C4%83u%C8%9Bisatul-criva-2305032.html
Briceni,Berliniţi,1413,1. < 1500,-40.62%,"1,136",TRUE,Briceni-04,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Briceni-04.txt,5. Adopted,5. Adopted,https://actelocale.gov.md/ral/act/cu-privire-la-amalgamarea-voluntar%C4%83a-unit%C4%83%C8%9Bilor-administrativ-teritoriale-ora%C8%99ul-bricenicomuna-berlin%C8%9Bi-satul-cotiujeni-%C8%99i-satul-tabani-2305355.html,5. Adopted,https://raw.githubusercontent.com/frank0051/Moldova-Primarii-Puternice-Dashboard/refs/heads/main/Other%20Sources/Briceni-04.txt
Briceni,Bogdănești,1414,1. < 1500,-23.78%,891,TRUE,FALSE,FALSE,FALSE,,,0. Unclear or Not Initiated,0. Not Checked
